Venue Name,City,State,Capacity,Age Restrictions,Region,Venue Type,Genres (top 3),Image,Website,Source(s),Venue ID,Confidence
Bell Theater,Bellingham,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305582,85
Bellingham Civic Stadium,Bellingham,WA,,,West,Venue,,,,Ticketmaster,tmv-Z7r9jZadw0,75
Breakwater,Bellingham,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fbreakwater-tickets-bellingham%2Fvenue%2F123312&utm_medium=affiliate,Ticketmaster,tmv-KovZpa9QOe,80
Christ the King Community Church,Bellingham,WA,,,West,Venue,,,,Ticketmaster,tmv-Z7r9jZaeBK,75
Grand Theater,Bellingham,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305583,85
Hannegan Speedway,Bellingham,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fhannegan-speedway-tickets-bellingham%2Fvenue%2F123455&utm_medium=affiliate,Ticketmaster,tmv-KovZpZA1JvkA,80
Hoag Lake Theatre,Bellingham,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q105965634,85
Holly Theater,Bellingham,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305584,85
Joe Martin Field,Bellingham,WA,,,West,Venue,,,,Ticketmaster,tmv-Z7r9jZa7kB,75
Liberty Theatre,Bellingham,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305585,85
Moonlite Drive-In,Bellingham,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q43305459,85
Motor-Vue Drive-In,Bellingham,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q43305460,85
Mount Baker Theatre,Bellingham,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Mount%20Baker%20Theatre.JPG,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fmount-baker-theatre-tickets-bellingham%2Fvenue%2F122969&utm_medium=affiliate,Ticketmaster;WikidataSPARQL,tmv-KovZpZAdEEdA,85
PAC Concert Hall,Bellingham,WA,,,West,Hall,,,,Ticketmaster,tmv-ZFr9jZF7kk,75
PAC Mainstage Theatre - WA,Bellingham,WA,,,West,Theatre,,,,Ticketmaster,tmv-ZFr9jZF17e,75
PFC's Limelight Cinema,Bellingham,WA,,,West,Venue,,,https://www.pickfordfilmcenter.org/,WikidataSPARQL,wd-Q88018231,90
Pickford Film Center,Bellingham,WA,,,West,Venue,,,http://www.pickfordfilmcenter.org,WikidataSPARQL,wd-Q43305586,90
Regal Barkley Village 16 IMAX & RPX,Bellingham,WA,,,West,Venue,,,http://www.regalcinemas.com,WikidataSPARQL,wd-Q43305587,90
Regal Bellis Fair 6,Bellingham,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q43305588,85
Regal Sunset Square 6,Bellingham,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q43305589,85
Royal Restaurant and Lounge,Bellingham,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Froyal-restaurant-and-lounge-tickets-bellingham%2Fvenue%2F123504&utm_medium=affiliate,Ticketmaster,tmv-KovZpZA1nv1A,80
Samish Twin Drive-In,Bellingham,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q43305461,85
Sehome Cinema 3,Bellingham,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q43305591,85
SPARK Museum of Electrical Invention,Bellingham,WA,,,West,Venue,,http://commons.wikimedia.org/wiki/Special:FilePath/Spark%20Radio%20Museum%20.jpg,https://www.sparkmuseum.org/,WikidataSPARQL,wd-Q7392462,90
The Majestic Ballroom - WA,Bellingham,WA,,,West,Ballroom,,,,Ticketmaster,tmv-Z7r9jZaA_z,75
The Shakedown,Bellingham,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fthe-shakedown-tickets-bellingham%2Fvenue%2F123877&utm_medium=affiliate,Ticketmaster,tmv-KovZ917A5zf,80
The Underground,Bellingham,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fthe-underground-tickets-bellingham%2Fvenue%2F342819&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAavdnA,80
Under The Big Top - Bellis Fair,Bellingham,WA,,,West,Venue,,,,Ticketmaster,tmv-Z7r9jZaAFN,75
Waterfront Waypoint Park,Bellingham,WA,,,West,Venue,,,,Ticketmaster,tmv-Z7r9jZaA9O,75
Western Washington University,Bellingham,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fwestern-washington-university-tickets-bellingham%2Fvenue%2F123203&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAJvdJA,80
Wild Buffalo House of Music,Bellingham,WA,,,West,Venue,,,,Ticketmaster,tmv-Z7r9jZadY-,75
Prosser Historical Museum,Benton County,WA,,,West,Venue,,,https://prossermuseum.com/,WikidataSPARQL,wd-Q117840812,90
Bingen Theater,Bingen,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305592,85
Birch Bay Waterslides,Birch Bay,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q135412221,85
Palmer Coking Coal,Black Diamond,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fpalmer-coking-coal-tickets-black-diamond%2Fvenue%2F123838&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAJ6EAA,80
Dakota Creek Roadhouse,Blaine,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fdakota-creek-roadhouse-tickets-blaine%2Fvenue%2F123306&utm_medium=affiliate,Ticketmaster,tmv-KovZpa9Qne,80
Seavue Theater,Blaine,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305593,85
Regal Tall Firs 10,Bonney Lake,WA,,,West,Venue,,,http://www.regalcinemas.com,WikidataSPARQL,wd-Q43305594,90
Avon Theater,Bothell,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305595,85
Eastside 4 Square Church,Bothell,WA,,,West,Venue,,,,Ticketmaster,tmv-Z7r9jZadWD,75
Eastside Church - WA,Bothell,WA,,,West,Venue,,,,Ticketmaster,tmv-Z7r9jZa7Kj,75
Eastside Foursquare Church,Bothell,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Feastside-foursquare-church-tickets-bothell%2Fvenue%2F123205&utm_medium=affiliate,Ticketmaster,tmv-KovZpaFXFe,80
McMenamins Anderson School,Bothell,WA,,,West,Venue,,,,Ticketmaster,tmv-Z7r9jZaA2f,75
McMenamins Anderson School Theater,Bothell,WA,,,West,Theatre,,,https://www.mcmenamins.com/anderson-school/anderson-school-theater,WikidataSPARQL,wd-Q81525895,90
Northshore Performing Arts Center,Bothell,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fnorthshore-performing-arts-center-tickets-bothell%2Fvenue%2F123615&utm_medium=affiliate,Ticketmaster,tmv-KovZpZA1tI6A,80
Skagit Valley Casino,Bow,WA,,,West,Venue,,,,Ticketmaster,tmv-ZFr9jZ77Fa,75
Skagit Valley Casino Pacific Showroom,Bow,WA,,,West,Venue,,https://s1.ticketm.net/dbimages/19943v.jpg,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fskagit-valley-casino-pacific-showroom-tickets-bow%2Fvenue%2F123497&utm_medium=affiliate,Ticketmaster,tmv-KovZpa3r8e,80
Admiral Theatre,Bremerton,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Bremerton%2C%20WA%20-%20Admiral%20Theater%2001.jpg,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fadmiral-theatre-tickets-bremerton%2Fvenue%2F123195&utm_medium=affiliate,Ticketmaster;WikidataSPARQL,tmv-KovZpZAaaJlA,90
Bremerton Cinema,Bremerton,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q43305597,85
Bremerton Elks Temple Lodge No. 1181 Building,Bremerton,WA,,,West,Venue,,http://commons.wikimedia.org/wiki/Special:FilePath/Bremerton%2C%20WA%20-%20Max%20Hale%20Center%2003.jpg,,WikidataSPARQL,wd-Q4960570,85
Bremerton Movie Lounge,Bremerton,WA,,,West,Venue,,,http://www.navylifepnw.com/site/79/Bremerton-Cinema.aspx,WikidataSPARQL,wd-Q43305600,90
Charleston Cinema,Bremerton,WA,,,West,Venue,,,http://www.thecharleston333.com,WikidataSPARQL,wd-Q43305602,90
Colonial Theatre,Bremerton,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305605,85
Kitsap Bowl,Bremerton,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fkitsap-bowl-tickets-bremerton%2Fvenue%2F123031&utm_medium=affiliate,Ticketmaster,tmv-KovZpab4ze,80
Kitsap County Fairgrounds,Bremerton,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fkitsap-county-fairgrounds-tickets-bremerton%2Fvenue%2F123264&utm_medium=affiliate,Ticketmaster,tmv-KovZpaGNpe,80
Kitsap Lake Drive-In,Bremerton,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q43305465,85
Kitsap Pavilion,Bremerton,WA,,,West,Pavilion,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fkitsap-pavilion-tickets-bremerton%2Fvenue%2F122963&utm_medium=affiliate,Ticketmaster,tmv-KovZpZA11ldA,80
Olympic Cinemas,Bremerton,WA,,,West,Venue,,,http://www.farawayentertainment.com,WikidataSPARQL,wd-Q43305607,90
Puget Sound Navy Museum,Bremerton,WA,,,West,Venue,,http://commons.wikimedia.org/wiki/Special:FilePath/Puget%20Sound%20Navy%20Museum%2001.jpg,https://www.pugetsoundnavymuseum.org/,WikidataSPARQL,wd-Q7258931,90
Rex Theater,Bremerton,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305608,85
Rialto Theater,Bremerton,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305609,85
Rodeo Drive-In,Bremerton,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Frodeo-drivein-tickets-bremerton%2Fvenue%2F123964&utm_medium=affiliate,Ticketmaster;WikidataSPARQL,tmv-KovZ917A0kO,90
Rodeo Drive-In Theatre,Bremerton,WA,,,West,Theatre,,,,Ticketmaster,tmv-Z7r9jZa7uT,75
Roxy Theater,Bremerton,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Bremerton%2C%20WA%20-%20Roxy%20Theater%2001.jpg,http://www.RoxyRevival.org,WikidataSPARQL,wd-Q43305247,90
SEEfilm Cinema,Bremerton,WA,,,West,Venue,,,http://www.seefilm.net,WikidataSPARQL,wd-Q43305611,90
St. Charles Anglican Cathedral,Bremerton,WA,,,West,Venue,,http://commons.wikimedia.org/wiki/Special:FilePath/St.%20Charles%20Anglican%20Cathedral%2003.jpg,https://stcharlesanglican.com/,WikidataSPARQL,wd-Q115518840,90
Tower Theatre,Bremerton,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305612,85
Town Theatre,Bremerton,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305614,85
Tracyton Movie House,Bremerton,WA,,,West,Venue,,,,Ticketmaster,tmv-Z7r9jZakkj,75
USS Turner Joy,Bremerton,WA,,,West,Venue,,http://commons.wikimedia.org/wiki/Special:FilePath/USS%20Turner%20Joy%20in%20Bremerton%2C%20Wa.%202014.jpg,http://www.ussturnerjoy.org/,WikidataSPARQL,wd-Q2471437,90
Caribou Theatre,Brewster,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305616,85
