Venue Name,City,State,Capacity,Age Restrictions,Region,Venue Type,Genres (top 3),Image,Website,Social Links,Source(s),Venue ID,Confidence
Tri-Circle Theatre,Richland,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305827,92
Uptown Theatre,Richland,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305830,92
Village Theater,Richland,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305831,92
Rose Theater,Tacoma,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306991,92
Shell Theatre,Tacoma,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306995,92
Sunset Theater,Tacoma,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306996,92
Tacoma Central,Tacoma,WA,,,West,Venue,,,,,WikidataSPARQL,wd-Q43306998,92
Tacoma Mall Twin Theatre,Tacoma,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43307000,92
Victory Theatre,Tacoma,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43307005,92
Broadway Theatre,Vancouver,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43307027,92
Cascade Park 4 Theater,Vancouver,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%92%D0%9E%D0%97%D0%A0%D0%9E%D0%96%D0%94%D0%95%D0%9D%D0%98%D0%95%20REVIVAL%20CHURCH%2C%20Vancouver%2C%20Washington%2C%20October%202020.jpg,,,WikidataSPARQL,wd-Q43307028,92
Castle Theatre,Vancouver,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43307030,92
Mission Theatre,Vancouver,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43307040,92
Palace Theater,Vancouver,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43307042,92
State Theatre,Vancouver,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43307047,92
Vancouver Mall 4,Vancouver,WA,,,West,Venue,,,,,WikidataSPARQL,wd-Q43307049,92
Vancouver Plaza 10,Vancouver,WA,,,West,Venue,,http://commons.wikimedia.org/wiki/Special:FilePath/Vancouver%20Plaza%2010.jpg,http://www.regalcinemas.com,,WikidataSPARQL,wd-Q43307051,95
Bijou Grand Theater,Walla Walla,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43307055,92
Capitol Theatre,Walla Walla,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43307057,92
Dime Theatre,Walla Walla,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43307059,92
Keylor Grand Theatre,Walla Walla,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43307062,92
Roxy Theatre,Walla Walla,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43307066,92
McMenamins Anderson School Theater,Bothell,WA,,,West,Theatre,,,https://www.mcmenamins.com/anderson-school/anderson-school-theater,https://facebook.com/McMenaminsAndersonSchool,WikidataSPARQL,wd-Q81525895,95
Sea View Theatre,Eastsound,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q81529266,92
Capitol Theater,Olympia,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Oly%20WA%20Capitol%20Theater%2006%20%28perspective%20transformed%29.jpg,http://www.olyfilm.org,,WikidataSPARQL,wd-Q5035935,95
Rialto Theater,Tacoma,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Rialto%20Theater-Tacoma.jpg,http://www.broadwaycenter.org,,WikidataSPARQL,wd-Q7322149,95
Taproot Theatre Company,Seattle,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Seattle%20-%2085th%20and%20Palatine%2C%201957.jpg,http://www.taproottheatre.org,,WikidataSPARQL,wd-Q7684822,95
